,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
962,2014-07-24 18:17:16,38.381 °C,38.319 °C,38.319 °C,30.3 %RH,30.3 %RH,30.3 %RH
963,2014-07-24 18:17:46,38.321 °C,38.260 °C,38.260 °C,30.3 %RH,30.3 %RH,30.3 %RH
964,2014-07-24 18:18:16,38.262 °C,38.202 °C,38.202 °C,30.3 %RH,30.1 %RH,30.1 %RH
965,2014-07-24 18:18:46,38.198 °C,38.140 °C,38.140 °C,30.1 %RH,30.1 %RH,30.1 %RH
966,2014-07-24 18:19:16,38.140 °C,38.083 °C,38.083 °C,30.1 %RH,30.1 %RH,30.1 %RH
967,2014-07-24 18:19:46,38.083 °C,38.016 °C,38.016 °C,30.1 %RH,30.1 %RH,30.1 %RH
968,2014-07-24 18:20:16,38.016 °C,37.959 °C,37.959 °C,30.1 %RH,30.1 %RH,30.1 %RH
969,2014-07-24 18:20:46,37.961 °C,37.898 °C,37.898 °C,30.1 %RH,30.1 %RH,30.1 %RH
970,2014-07-24 18:21:16,37.896 °C,37.836 °C,37.836 °C,30.1 %RH,30.1 %RH,30.1 %RH
971,2014-07-24 18:21:46,37.836 °C,37.776 °C,37.776 °C,30.1 %RH,30.1 %RH,30.1 %RH
972,2014-07-24 18:22:16,37.776 °C,37.718 °C,37.718 °C,30.1 %RH,30.1 %RH,30.1 %RH
973,2014-07-24 18:22:46,37.714 °C,37.653 °C,37.653 °C,30.1 %RH,30.1 %RH,30.1 %RH
974,2014-07-24 18:23:16,37.655 °C,37.595 °C,37.595 °C,30.1 %RH,30.1 %RH,30.1 %RH
975,2014-07-24 18:23:46,37.591 °C,37.537 °C,37.537 °C,30.1 %RH,30.1 %RH,29.9 %RH
976,2014-07-24 18:24:16,37.533 °C,37.474 °C,37.474 °C,30.3 %RH,30.1 %RH,29.9 %RH
977,2014-07-24 18:24:46,37.472 °C,37.414 °C,37.414 °C,30.1 %RH,30.1 %RH,29.9 %RH
978,2014-07-24 18:25:16,37.416 °C,37.356 °C,37.354 °C,30.1 %RH,30.1 %RH,30.1 %RH
979,2014-07-24 18:25:46,37.353 °C,37.297 °C,37.297 °C,30.1 %RH,30.1 %RH,30.1 %RH
980,2014-07-24 18:26:16,37.295 °C,37.237 °C,37.237 °C,30.1 %RH,30.1 %RH,30.1 %RH
981,2014-07-24 18:26:46,37.235 °C,37.181 °C,37.181 °C,30.1 %RH,30.1 %RH,30.1 %RH
982,2014-07-24 18:27:16,37.174 °C,37.120 °C,37.120 °C,30.1 %RH,30.1 %RH,30.1 %RH
983,2014-07-24 18:27:46,37.115 °C,37.059 °C,37.059 °C,30.1 %RH,30.1 %RH,30.1 %RH
984,2014-07-24 18:28:16,37.059 °C,37.000 °C,37.000 °C,30.1 %RH,30.1 %RH,30.1 %RH
985,2014-07-24 18:28:46,36.993 °C,36.944 °C,36.942 °C,30.1 %RH,30.1 %RH,30.1 %RH
986,2014-07-24 18:29:16,36.937 °C,36.883 °C,36.883 °C,30.1 %RH,30.1 %RH,30.1 %RH
987,2014-07-24 18:29:46,36.883 °C,36.822 °C,36.822 °C,30.1 %RH,30.1 %RH,30.1 %RH
988,2014-07-24 18:30:16,36.825 °C,36.766 °C,36.766 °C,30.1 %RH,30.1 %RH,30.1 %RH
989,2014-07-24 18:30:46,36.763 °C,36.711 °C,36.707 °C,30.1 %RH,30.1 %RH,30.1 %RH
990,2014-07-24 18:31:16,36.704 °C,36.650 °C,36.650 °C,30.1 %RH,30.1 %RH,30.1 %RH
991,2014-07-24 18:31:46,36.650 °C,36.591 °C,36.591 °C,30.1 %RH,30.1 %RH,30.1 %RH
992,2014-07-24 18:32:16,36.586 °C,36.535 °C,36.535 °C,30.1 %RH,30.1 %RH,30.1 %RH
993,2014-07-24 18:32:46,36.534 °C,36.477 °C,36.477 °C,30.1 %RH,30.1 %RH,30.1 %RH
994,2014-07-24 18:33:16,36.477 °C,36.418 °C,36.418 °C,30.1 %RH,30.1 %RH,30.1 %RH
995,2014-07-24 18:33:46,36.415 °C,36.364 °C,36.364 °C,30.1 %RH,30.1 %RH,30.1 %RH
996,2014-07-24 18:34:16,36.359 °C,36.304 °C,36.302 °C,30.3 %RH,30.1 %RH,30.1 %RH
997,2014-07-24 18:34:46,36.302 °C,36.250 °C,36.250 °C,30.3 %RH,30.1 %RH,30.1 %RH
998,2014-07-24 18:35:16,36.248 °C,36.193 °C,36.193 °C,30.3 %RH,30.1 %RH,30.1 %RH
999,2014-07-24 18:35:46,36.191 °C,36.133 °C,36.133 °C,30.3 %RH,30.1 %RH,30.1 %RH
1000,2014-07-24 18:36:16,36.136 °C,36.074 °C,36.074 °C,30.1 %RH,30.1 %RH,30.1 %RH
1001,2014-07-24 18:36:46,36.081 °C,36.022 °C,36.022 °C,30.1 %RH,30.1 %RH,30.1 %RH
1002,2014-07-24 18:37:16,36.019 °C,35.965 °C,35.965 °C,30.1 %RH,30.1 %RH,30.1 %RH
1003,2014-07-24 18:37:46,35.965 °C,35.915 °C,35.912 °C,30.1 %RH,30.1 %RH,30.1 %RH
1004,2014-07-24 18:38:16,35.907 °C,35.853 °C,35.853 °C,30.1 %RH,30.1 %RH,30.1 %RH
1005,2014-07-24 18:38:46,35.855 °C,35.802 °C,35.802 °C,30.1 %RH,30.1 %RH,30.1 %RH
1006,2014-07-24 18:39:16,35.797 °C,35.743 °C,35.743 °C,30.1 %RH,30.1 %RH,30.1 %RH
